Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,0.184500,0.192700,0.180000,0.192500,0.192500,50375
2019-03-18,0.175850,0.190200,0.151000,0.170000,0.170000,335869
2019-03-19,0.169250,0.169250,0.155000,0.168000,0.168000,97390
2019-03-20,0.160000,0.195000,0.160000,0.184000,0.184000,327434
2019-03-21,0.204500,0.204500,0.138850,0.148000,0.148000,736104
2019-03-22,0.143800,0.148000,0.143800,0.148000,0.148000,83663
2019-03-25,0.148000,0.158800,0.145000,0.158800,0.158800,122893
2019-03-26,0.158000,0.160500,0.150000,0.160500,0.160500,48200
2019-03-27,0.150000,0.160000,0.144000,0.151500,0.151500,167500
2019-03-28,0.144000,0.164000,0.131600,0.164000,0.164000,343472
2019-03-29,0.140000,0.164000,0.140000,0.164000,0.164000,74523
2019-04-01,0.150000,0.159050,0.141000,0.156000,0.156000,47125
2019-04-02,0.150000,0.157500,0.142500,0.150000,0.150000,50985
2019-04-03,0.150000,0.163000,0.142000,0.163000,0.163000,112231
2019-04-04,0.143000,0.163000,0.143000,0.150000,0.150000,48012
2019-04-05,0.150000,0.160000,0.145000,0.159300,0.159300,45582
2019-04-08,0.150000,0.159200,0.150000,0.158460,0.158460,29300
2019-04-09,0.155450,0.162900,0.148000,0.160000,0.160000,38350
2019-04-10,0.174800,0.174800,0.152500,0.160000,0.160000,10000
2019-04-11,0.150000,0.162900,0.145000,0.150000,0.150000,31925
2019-04-12,0.170000,0.170000,0.145000,0.150000,0.150000,52950
2019-04-15,0.155000,0.155000,0.125000,0.137000,0.137000,225806
2019-04-16,0.138000,0.153000,0.138000,0.148250,0.148250,202585
2019-04-17,0.147080,0.147080,0.110000,0.137900,0.137900,639163
2019-04-18,0.126800,0.139450,0.126800,0.138900,0.138900,90794
2019-04-22,0.126800,0.132450,0.115000,0.129600,0.129600,310720
2019-04-23,0.142500,0.149900,0.126500,0.141000,0.141000,81395
2019-04-24,0.159950,0.159950,0.122200,0.139900,0.139900,182229
2019-04-25,0.142600,0.142600,0.138600,0.142600,0.142600,28332
2019-04-26,0.118000,0.149900,0.118000,0.147000,0.147000,191741
2019-04-29,0.138000,0.169000,0.134000,0.169000,0.169000,637404
2019-04-30,0.167000,0.179000,0.160000,0.175710,0.175710,124935
2019-05-01,0.177000,0.177000,0.137030,0.174900,0.174900,171135
2019-05-02,0.141670,0.154900,0.138600,0.153000,0.153000,108617
2019-05-03,0.149000,0.155000,0.125000,0.132000,0.132000,146761
2019-05-06,0.153400,0.153400,0.150700,0.150700,0.150700,7700
2019-05-07,0.141250,0.151500,0.132000,0.150000,0.150000,53545
2019-05-08,0.150000,0.168410,0.135000,0.160000,0.160000,136271
2019-05-09,0.166200,0.166200,0.140000,0.159900,0.159900,79617
2019-05-10,0.186000,0.186000,0.131000,0.149000,0.149000,18259
2019-05-13,0.130700,0.150000,0.120000,0.147500,0.147500,303149
2019-05-14,0.182000,0.182000,0.130000,0.140000,0.140000,247795
2019-05-15,0.130100,0.139800,0.121000,0.127400,0.127400,85324
2019-05-16,0.155000,0.155000,0.135000,0.147500,0.147500,44106
2019-05-17,0.147500,0.147500,0.121000,0.135000,0.135000,223864
2019-05-20,0.127000,0.144000,0.127000,0.144000,0.144000,19050
2019-05-21,0.145000,0.145000,0.120200,0.138900,0.138900,132084
2019-05-22,0.139400,0.139400,0.120100,0.132100,0.132100,74000
2019-05-23,0.132500,0.144000,0.123740,0.144000,0.144000,62206
2019-05-24,0.144000,0.144000,0.130000,0.140000,0.140000,72400
2019-05-28,0.145000,0.145000,0.130000,0.143900,0.143900,32800
2019-05-29,0.142600,0.142600,0.129000,0.142600,0.142600,1597
2019-05-30,0.129000,0.140000,0.129000,0.140000,0.140000,170510
2019-05-31,0.144000,0.144000,0.123500,0.139700,0.139700,41511
2019-06-03,0.143000,0.143000,0.130000,0.139410,0.139410,59600
2019-06-04,0.137730,0.138500,0.130000,0.137900,0.137900,18872
2019-06-05,0.138000,0.138000,0.120000,0.133190,0.133190,230348
2019-06-06,0.130000,0.135000,0.125900,0.135000,0.135000,32000
2019-06-07,0.135000,0.143000,0.135000,0.143000,0.143000,40953
2019-06-10,0.143000,0.143000,0.135000,0.140000,0.140000,85174
2019-06-11,0.129550,0.142900,0.129550,0.142900,0.142900,100144
2019-06-12,0.144900,0.154000,0.140000,0.150000,0.150000,226214
2019-06-13,0.147000,0.155000,0.132000,0.149250,0.149250,241014
2019-06-14,0.150000,0.150000,0.137750,0.137750,0.137750,117343
2019-06-17,0.132620,0.137400,0.125600,0.125600,0.125600,86950
2019-06-18,0.125700,0.136900,0.125700,0.125900,0.125900,78414
2019-06-19,0.125900,0.134900,0.121100,0.130000,0.130000,184604
2019-06-20,0.121000,0.125500,0.102600,0.124000,0.124000,172634
2019-06-21,0.122000,0.136800,0.100000,0.135000,0.135000,453882
2019-06-24,0.136000,0.139800,0.125000,0.138300,0.138300,109600
2019-06-25,0.135000,0.135000,0.135000,0.135000,0.135000,7000
2019-06-26,0.133680,0.135000,0.122500,0.134070,0.134070,6240
2019-06-27,0.133000,0.133000,0.125000,0.133000,0.133000,50366
2019-06-28,0.131300,0.131300,0.131300,0.131300,0.131300,11452
2019-07-01,0.125000,0.125000,0.125000,0.125000,0.125000,8500
2019-07-02,0.125000,0.131300,0.125000,0.131300,0.131300,3240
2019-07-03,0.131300,0.140000,0.125000,0.140000,0.140000,80192
2019-07-05,0.140600,0.140600,0.124500,0.124500,0.124500,7500
2019-07-08,0.139500,0.140000,0.119800,0.122000,0.122000,149017
2019-07-09,0.125000,0.140000,0.125000,0.140000,0.140000,15313
2019-07-10,0.140000,0.155000,0.130000,0.139900,0.139900,533376
2019-07-11,0.135000,0.175000,0.135000,0.162200,0.162200,331360
2019-07-12,0.152000,0.167400,0.140000,0.164950,0.164950,323853
2019-07-15,0.166450,0.166450,0.166450,0.166450,0.166450,500
2019-07-16,0.163500,0.163500,0.160000,0.161480,0.161480,23340
2019-07-17,0.162450,0.171530,0.150000,0.170000,0.170000,31752
2019-07-18,0.170000,0.190000,0.169200,0.190000,0.190000,221725
2019-07-19,0.190000,0.194900,0.163080,0.173000,0.173000,102109
2019-07-22,0.180000,0.180000,0.165000,0.170000,0.170000,21400
2019-07-23,0.160100,0.170000,0.155300,0.170000,0.170000,14400
2019-07-24,0.160000,0.177000,0.156000,0.166300,0.166300,163686
2019-07-25,0.175000,0.175000,0.175000,0.175000,0.175000,100
2019-07-26,0.163000,0.169250,0.156000,0.167380,0.167380,124506
2019-07-29,0.172500,0.172500,0.172500,0.172500,0.172500,7661
2019-07-30,0.157450,0.169800,0.155800,0.155800,0.155800,24300
2019-07-31,0.155400,0.174900,0.155400,0.165000,0.165000,39952
2019-08-01,0.155800,0.163000,0.125100,0.139900,0.139900,191620
2019-08-02,0.161200,0.163700,0.152060,0.159900,0.159900,55690
2019-08-05,0.161250,0.162000,0.161250,0.162000,0.162000,27685
2019-08-06,0.163850,0.163850,0.154500,0.154500,0.154500,27646
2019-08-07,0.163000,0.163000,0.163000,0.163000,0.163000,200
2019-08-08,0.150000,0.150000,0.130000,0.150000,0.150000,27961
2019-08-09,0.164000,0.167800,0.134680,0.167800,0.167800,81200
2019-08-12,0.167800,0.167800,0.139100,0.148000,0.148000,19450
2019-08-13,0.148000,0.148000,0.131000,0.131000,0.131000,24375
2019-08-14,0.146960,0.156250,0.136500,0.156250,0.156250,126340
2019-08-15,0.140000,0.165000,0.140000,0.165000,0.165000,32000
2019-08-16,0.140000,0.162590,0.138300,0.162590,0.162590,22100
2019-08-19,0.161180,0.163710,0.140500,0.159000,0.159000,92358
2019-08-20,0.149900,0.173000,0.149900,0.172900,0.172900,236252
2019-08-21,0.172900,0.172900,0.156000,0.160000,0.160000,57644
2019-08-22,0.150100,0.171000,0.150100,0.161090,0.161090,29963
2019-08-23,0.172900,0.172900,0.150100,0.150100,0.150100,25600
2019-08-26,0.180000,0.180000,0.165000,0.175000,0.175000,558991
2019-08-27,0.160000,0.170000,0.158300,0.158300,0.158300,135875
2019-08-28,0.160000,0.160000,0.155000,0.160000,0.160000,87833
2019-08-29,0.151000,0.165000,0.150000,0.165000,0.165000,133347
2019-08-30,0.165000,0.175000,0.165000,0.173800,0.173800,55792
2019-09-03,0.175000,0.185000,0.160700,0.160700,0.160700,126375
2019-09-04,0.177500,0.195000,0.167200,0.170000,0.170000,261699
2019-09-05,0.170000,0.187000,0.167200,0.172550,0.172550,199684
2019-09-06,0.170750,0.184900,0.169600,0.184800,0.184800,114691
2019-09-09,0.179900,0.199900,0.171000,0.199900,0.199900,102389
2019-09-10,0.195000,0.199900,0.172300,0.172300,0.172300,370411
2019-09-11,0.171150,0.192000,0.171150,0.180000,0.180000,24872
2019-09-12,0.180000,0.218000,0.180000,0.205000,0.205000,579686
2019-09-13,0.217000,0.217000,0.183730,0.185100,0.185100,305939
2019-09-16,0.185200,0.199900,0.185200,0.188500,0.188500,106276
2019-09-17,0.199800,0.220000,0.190000,0.220000,0.220000,39418
2019-09-18,0.180000,0.202350,0.180000,0.192500,0.192500,74920
2019-09-19,0.190200,0.199800,0.181300,0.190000,0.190000,43129
2019-09-20,0.224700,0.224700,0.182700,0.188130,0.188130,57317
2019-09-23,0.180000,0.192500,0.180000,0.185060,0.185060,185874
2019-09-24,0.183000,0.188190,0.172500,0.172500,0.172500,147572
2019-09-25,0.174900,0.200000,0.174900,0.200000,0.200000,148154
2019-09-26,0.191500,0.191500,0.185000,0.185100,0.185100,50394
2019-09-27,0.190000,0.190000,0.174000,0.184700,0.184700,81883
